filename,material_id,formula,is_ordered,conventional_num_sites,conventional_effective_atoms,primitive_num_sites,primitive_effective_atoms,parse_status,error,Ionic conductivity (S cm-1),has_fractional_occupancy,fractional_occupancy_row_count,disordered_asymmetric_site_count,disordered_position_multiplicity_sum,disordered_element_count,disordered_elements,mixed_site_count_sum_1,vacancy_site_count,overoccupied_site_count,disordered_site_details,ordering_batch_status,ordered_candidate_count,geometry_valid_candidate_count,selected_ordered_file,selected_ordered_formula,selected_ordered_num_atoms,ordering_supercell_multiplier,ordering_composition_max_drift,ordering_split_pair_count,ordering_split_cluster_count,geometry_min_distance_angstrom,geometry_min_distance_pair,geometry_min_radius_ratio,geometry_min_radius_pair,geometry_min_li_li_distance_angstrom,geometry_issues,geometry_error_candidate_count,best_error_file,ordering_result_summary
00x.cif,00x,Li4 Gd4 P16 O48,True,72,72,36,36,ok,,<1E-10,False,0,0,0,0,,0,0,0,,manual_review,1,0,,Li2 Gd2 P8 O24,36,,0.0,0,0,1.17820711,O-P,0.68104457,O-P,5.64486288,radius_ratio<0.75,1,OBELIX/ordered_cifs/erro/00x_ordered.cif,原始 CIF 已有序，但未通过几何检查（0/1 个候选通过；原因：radius_ratio<0.75）
019.cif,019,Li6 Ti12 P18 O72,False,144,108,144,108,ok,,0.000161,True,2,2,42,1,Li,0,2,0,Li@0.025[m=36];Li@0.85[m=6],manual_review,3,0,,Li6 Ti12 P18 O72,108,1,0.0,0,0,1.64661674,O-Ti,0.72859148,O-Ti,3.13433813,radius_ratio<0.75,3,OBELIX/ordered_cifs/erro/019_ordered.cif,未通过几何检查（0/3 个候选通过；原因：radius_ratio<0.75）
09w.cif,09w,Li24.19992 Si0.2 P3.8 S20 Br4,False,100,52.19992,25,13.04998,ok,,0.000437,True,8,5,84,5,Br;Li;P;S;Si,3,2,0,Li@0.44208[m=48];Li@0.12417[m=24];P@0.95+Si@0.05[m=4];Br@0.21+S@0.79[m=4];Br@0.79+S@0.21[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/09w_ordered.cif,Li60 Si1 P9 S50 Br10,130,10,0.0038608841958732145,0,6,1.87246779,P-S,0.77341813,Li-Li,1.97995042,,0,,成功有序化（5/5 个候选通过几何检查）
0fh.cif,0fh,Li7.44 Al1.452 Ge10.548 P18 O72,False,144,109.44,48,36.48,ok,,4.83e-05,True,4,3,54,3,Al;Ge;Li,1,2,0,Li@0.08[m=36];Li@0.76[m=6];Al@0.121+Ge@0.879[m=12],geometry_ok,5,5,OBELIX/ordered_cifs/0fh_ordered.cif,Li5 Al1 Ge7 P12 O48,73,2,0.0005106945445806504,0,0,1.34948662,O-P,0.78005007,O-P,3.67591277,,0,,成功有序化（5/5 个候选通过几何检查）
0ii.cif,0ii,Na0.48 Li0.02 La0.5 Nb2 O6,False,9,9,9,9,ok,,3.99e-06,True,3,1,1,3,La;Li;Na,1,0,0,La@0.5+Li@0.02+Na@0.48[m=1],geometry_ok,5,5,OBELIX/ordered_cifs/0ii_ordered.cif,Na4 Li1 La5 Nb20 O60,90,10,0.008888888888888889,0,0,1.86186937,Nb-O,0.80950842,Nb-O,,,0,,成功有序化（5/5 个候选通过几何检查）
0iv.cif,0iv,Li4 P2 S6,True,12,12,12,12,ok,,2.38e-07,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/0iv_ordered.cif,Li4 P2 S6,12,,0.0,0,0,2.05990982,P-S,0.97165558,P-S,3.29940000,,0,,原始 CIF 已完全有序，并通过几何检查
0o6.cif,0o6,Li6.828 Sc1.26 Ti10.74 P18 O72,False,144,108.828,48,36.276,ok,,9.98e-05,True,3,2,48,3,Li;Sc;Ti,1,1,0,Li@0.023[m=36];Sc@0.105+Ti@0.895[m=12],geometry_ok,5,5,OBELIX/ordered_cifs/0o6_ordered.cif,Li5 Sc1 Ti7 P12 O48,73,2,0.0027974267299259725,0,0,1.33071707,O-P,0.76920062,O-P,3.02128339,,0,,成功有序化（5/5 个候选通过几何检查）
10s.cif,10s,Li25.39992 Si1.4 P2.6 S20 Br4,False,100,53.39992,25,13.34998,ok,,0.00234,True,8,5,84,5,Br;Li;P;S;Si,3,2,0,Li@0.45458[m=48];Li@0.14917[m=24];P@0.65+Si@0.35[m=4];Br@0.17+S@0.83[m=4];Br@0.83+S@0.17[m=4],geometry_ok,5,5,OBELIX/ordered_cifs/10s_ordered.cif,Li30 Si2 P3 S25 Br5,65,5,0.014116183637036817,0,6,1.97256791,P-S,0.91322589,S-Si,2.38448018,,0,,成功有序化（5/5 个候选通过几何检查）
11b.cif,11b,Li6 P2,True,8,8,8,8,ok,,0.000703,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/11b_ordered.cif,Li6 P2,8,,0.0,0,0,2.46701770,Li-P,0.97090506,Li-Li,2.48551696,,0,,原始 CIF 已完全有序，并通过几何检查
122.cif,122,Li24 P4 S20 Cl4,False,76,52,19,13,ok,,0.00205,True,5,3,56,3,Cl;Li;S,2,1,0,Li@0.5[m=48];Cl@0.385+S@0.615[m=4];Cl@0.615+S@0.385[m=4],manual_review,5,0,,Li30 P5 S25 Cl5,65,5,0.0,0,0,1.81719938,Li-Li,0.70984351,Li-Li,1.81719938,radius_ratio<0.75,5,OBELIX/ordered_cifs/erro/122_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75）
13q.cif,13q,Li20 Sn2 P4 S24,False,66,50,66,50,ok,,0.00398,True,6,5,40,3,Li;P;Sn,1,4,0,Li@0.68[m=4];Li@0.5[m=16];Li@0.54[m=8];Li@0.62[m=8];P@0.5+Sn@0.5[m=4],manual_review,5,0,,Li59 Sn6 P12 S72,149,3,0.004026845637583931,4,0,1.37418104,Li-Li,0.53678947,Li-Li,1.37418104,radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/13q_ordered.cif,未通过几何检查（0/5 个候选通过；原因：radius_ratio<0.75;Li-Li<1.8）
1dm.cif,1dm,Li8.868 Al2.88 Ge9.12 P18 O72,False,144,110.868,48,36.956,ok,,0.000284,True,4,3,54,3,Al;Ge;Li,1,2,0,Li@0.163[m=36];Li@0.5[m=6];Al@0.24+Ge@0.76[m=12],geometry_ok,5,5,OBELIX/ordered_cifs/1dm_ordered.cif,Li3 Al1 Ge3 P6 O24,37,1,0.0,0,0,1.59796638,O-P,0.78540605,Li-Li,2.01063950,,0,,成功有序化（5/5 个候选通过几何检查）
1e9.cif,1e9,Li12 Sb4 S12,True,28,28,28,28,ok,,1e-09,False,0,0,0,0,,0,0,0,,source_ordered,1,1,OBELIX/ordered_cifs/1e9_ordered.cif,Li12 Sb4 S12,28,,0.0,0,0,2.35570311,S-Sb,0.96545209,S-Sb,2.74607042,,0,,原始 CIF 已完全有序，并通过几何检查
1kq.cif,1kq,Li24.024 P4 Se2.8 S17.2 Br4,False,100,52.024,25,13.006,ok,,0.00301,True,6,4,92,3,Li;S;Se,2,2,0,Li@0.441[m=48];Li@0.119[m=24];S@0.55224+Se@0.44776[m=4];S@0.93694+Se@0.06306[m=16],geometry_ok,5,5,OBELIX/ordered_cifs/1kq_ordered.cif,Li30 P5 Se3 S22 Br5,65,5,0.007667467086196908,0,6,1.94684388,P-S,0.85764050,P-Se,2.30862924,,0,,成功有序化（5/5 个候选通过几何检查）
1m8.cif,1m8,Li26.688 Ge3.16 P0.84 S20 I4,False,100,54.688,25,13.672,ok,,0.00258,True,8,5,84,5,Ge;I;Li;P;S,3,2,0,Li@0.351[m=48];Li@0.41[m=24];Ge@0.79+P@0.21[m=4];I@0.073+S@0.927[m=4];I@0.927+S@0.073[m=4],manual_review,5,0,,Li60 Ge7 P2 S45 I9,123,9,0.0009003030346277745,0,0,0.72302164,Li-Li,0.28243033,Li-Li,0.72302164,distance<0.8;radius_ratio<0.75;Li-Li<1.8,5,OBELIX/ordered_cifs/erro/1m8_ordered.cif,未通过几何检查（0/5 个候选通过；原因：distance<0.8;radius_ratio<0.75;Li-Li<1.8）
