parent_id,source_file,status,message,reference_formula,source_formula,cleaned_formula,source_num_sites,dropped_species_count,dropped_occupancy_sum,grouping_method,split_site_pair_count,split_site_cluster_count,split_site_species,supercell_multiplier,supercell_matrix,occupancy_max_error,occupancy_mean_error,within_error_tolerance,source_composition_max_error,composition_max_error,composition_max_drift,within_composition_tolerance,missing_reference_elements,candidate_index,energy_rank,num_atoms,ordered_formula,ranker,relaxed,total_energy_ev,energy_per_atom_ev,output_file
00x,OBELIX/cifs/00x.cif,copied_ordered,,Li4 Gd4 P16 O48,Li2 Gd2 P8 O24,Li2 Gd2 P8 O24,36,0,0.0,,0,0,,,,,,,0.0,0.0,0.0,True,,,,36,Li2 Gd2 P8 O24,none,False,,,OBELIX/ordered_cifs/00x_ordered.cif
019,OBELIX/cifs/019.cif,ok,,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,144,0,0.0,spacegroup,0,0,,1,1x1x1,0.016666666666666635,0.004861111111111098,True,0.0,0.0,0.0,True,,0,,108,Li6 Ti12 P18 O72,none,False,,,OBELIX/ordered_cifs/019_ordered.cif
019,OBELIX/cifs/019.cif,ok,,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,144,0,0.0,spacegroup,0,0,,1,1x1x1,0.016666666666666635,0.004861111111111098,True,0.0,0.0,0.0,True,,1,,108,Li6 Ti12 P18 O72,none,False,,,OBELIX/ordered_cifs/019_ordered_01.cif
019,OBELIX/cifs/019.cif,ok,,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,144,0,0.0,spacegroup,0,0,,1,1x1x1,0.016666666666666635,0.004861111111111098,True,0.0,0.0,0.0,True,,2,,108,Li6 Ti12 P18 O72,none,False,,,OBELIX/ordered_cifs/019_ordered_02.cif
09w,OBELIX/cifs/09w.cif,ok,,Li24.2 Si0.2 P3.8 S20 Br4,Li6.04998 Si0.05 P0.95 S5 Br1,Li6.04998 Si0.05 P0.95 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,10,5x1x2,0.05,0.016435185185185178,True,8.220678766046596e-07,0.00386089006778662,0.0038608841958732145,True,,0,,130,Li60 Si1 P9 S50 Br10,none,False,,,OBELIX/ordered_cifs/09w_ordered.cif
09w,OBELIX/cifs/09w.cif,ok,,Li24.2 Si0.2 P3.8 S20 Br4,Li6.04998 Si0.05 P0.95 S5 Br1,Li6.04998 Si0.05 P0.95 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,10,5x1x2,0.05,0.016435185185185178,True,8.220678766046596e-07,0.00386089006778662,0.0038608841958732145,True,,1,,130,Li60 Si1 P9 S50 Br10,none,False,,,OBELIX/ordered_cifs/09w_ordered_01.cif
09w,OBELIX/cifs/09w.cif,ok,,Li24.2 Si0.2 P3.8 S20 Br4,Li6.04998 Si0.05 P0.95 S5 Br1,Li6.04998 Si0.05 P0.95 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,10,5x1x2,0.05,0.016435185185185178,True,8.220678766046596e-07,0.00386089006778662,0.0038608841958732145,True,,2,,130,Li60 Si1 P9 S50 Br10,none,False,,,OBELIX/ordered_cifs/09w_ordered_02.cif
09w,OBELIX/cifs/09w.cif,ok,,Li24.2 Si0.2 P3.8 S20 Br4,Li6.04998 Si0.05 P0.95 S5 Br1,Li6.04998 Si0.05 P0.95 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,10,5x1x2,0.05,0.016435185185185178,True,8.220678766046596e-07,0.00386089006778662,0.0038608841958732145,True,,3,,130,Li60 Si1 P9 S50 Br10,none,False,,,OBELIX/ordered_cifs/09w_ordered_03.cif
09w,OBELIX/cifs/09w.cif,ok,,Li24.2 Si0.2 P3.8 S20 Br4,Li6.04998 Si0.05 P0.95 S5 Br1,Li6.04998 Si0.05 P0.95 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,10,5x1x2,0.05,0.016435185185185178,True,8.220678766046596e-07,0.00386089006778662,0.0038608841958732145,True,,4,,130,Li60 Si1 P9 S50 Br10,none,False,,,OBELIX/ordered_cifs/09w_ordered_04.cif
0fh,OBELIX/cifs/0fh.cif,ok,,Li7.2 Al1.2 Ge10.8 P18 O72,Li2.48 Al0.484 Ge3.516 P6 O24,Li2.48 Al0.484 Ge3.516 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.010000000000000009,0.0038518518518518624,True,0.002519519953730495,0.0030106879421948063,0.0005106945445806504,True,,0,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_cifs/0fh_ordered.cif
0fh,OBELIX/cifs/0fh.cif,ok,,Li7.2 Al1.2 Ge10.8 P18 O72,Li2.48 Al0.484 Ge3.516 P6 O24,Li2.48 Al0.484 Ge3.516 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.010000000000000009,0.0038518518518518624,True,0.002519519953730495,0.0030106879421948063,0.0005106945445806504,True,,1,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_cifs/0fh_ordered_01.cif
0fh,OBELIX/cifs/0fh.cif,ok,,Li7.2 Al1.2 Ge10.8 P18 O72,Li2.48 Al0.484 Ge3.516 P6 O24,Li2.48 Al0.484 Ge3.516 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.010000000000000009,0.0038518518518518624,True,0.002519519953730495,0.0030106879421948063,0.0005106945445806504,True,,2,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_cifs/0fh_ordered_02.cif
0fh,OBELIX/cifs/0fh.cif,ok,,Li7.2 Al1.2 Ge10.8 P18 O72,Li2.48 Al0.484 Ge3.516 P6 O24,Li2.48 Al0.484 Ge3.516 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.010000000000000009,0.0038518518518518624,True,0.002519519953730495,0.0030106879421948063,0.0005106945445806504,True,,3,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_cifs/0fh_ordered_03.cif
0fh,OBELIX/cifs/0fh.cif,ok,,Li7.2 Al1.2 Ge10.8 P18 O72,Li2.48 Al0.484 Ge3.516 P6 O24,Li2.48 Al0.484 Ge3.516 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.010000000000000009,0.0038518518518518624,True,0.002519519953730495,0.0030106879421948063,0.0005106945445806504,True,,4,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_cifs/0fh_ordered_04.cif
0ii,OBELIX/cifs/0ii.cif,approximation_warning,Occupancy error 0.080000 exceeds tolerance 0.050000,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,9,0,0.0,spacegroup,0,0,,10,5x2x1,0.08,0.019999999999999997,False,0.0,0.008888888888888889,0.008888888888888889,True,,0,,90,Na4 Li1 La5 Nb20 O60,none,False,,,OBELIX/ordered_cifs/0ii_ordered.cif
0ii,OBELIX/cifs/0ii.cif,approximation_warning,Occupancy error 0.080000 exceeds tolerance 0.050000,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,9,0,0.0,spacegroup,0,0,,10,5x2x1,0.08,0.019999999999999997,False,0.0,0.008888888888888889,0.008888888888888889,True,,1,,90,Na4 Li1 La5 Nb20 O60,none,False,,,OBELIX/ordered_cifs/0ii_ordered_01.cif
0ii,OBELIX/cifs/0ii.cif,approximation_warning,Occupancy error 0.080000 exceeds tolerance 0.050000,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,9,0,0.0,spacegroup,0,0,,10,5x2x1,0.08,0.019999999999999997,False,0.0,0.008888888888888889,0.008888888888888889,True,,2,,90,Na4 Li1 La5 Nb20 O60,none,False,,,OBELIX/ordered_cifs/0ii_ordered_02.cif
0ii,OBELIX/cifs/0ii.cif,approximation_warning,Occupancy error 0.080000 exceeds tolerance 0.050000,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,9,0,0.0,spacegroup,0,0,,10,5x2x1,0.08,0.019999999999999997,False,0.0,0.008888888888888889,0.008888888888888889,True,,3,,90,Na4 Li1 La5 Nb20 O60,none,False,,,OBELIX/ordered_cifs/0ii_ordered_03.cif
0ii,OBELIX/cifs/0ii.cif,approximation_warning,Occupancy error 0.080000 exceeds tolerance 0.050000,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,9,0,0.0,spacegroup,0,0,,10,5x2x1,0.08,0.019999999999999997,False,0.0,0.008888888888888889,0.008888888888888889,True,,4,,90,Na4 Li1 La5 Nb20 O60,none,False,,,OBELIX/ordered_cifs/0ii_ordered_04.cif
0iv,OBELIX/cifs/0iv.cif,copied_ordered,,Li4 P2 S6,Li4 P2 S6,Li4 P2 S6,12,0,0.0,,0,0,,,,,,,0.0,0.0,0.0,True,,,,12,Li4 P2 S6,none,False,,,OBELIX/ordered_cifs/0iv_ordered.cif
0o6,OBELIX/cifs/0o6.cif,ok,,Li7.2 Sc1.2 Ti10.8 P18 O72,Li2.276 Sc0.42 Ti3.58 P6 O24,Li2.276 Sc0.42 Ti3.58 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.020000000000000018,0.009666666666666662,True,0.003192859626865552,0.0030106879421948063,0.0027974267299259725,True,,0,,73,Li5 Sc1 Ti7 P12 O48,none,False,,,OBELIX/ordered_cifs/0o6_ordered.cif
