parent_id,source_file,status,message,reference_formula,source_formula,cleaned_formula,source_num_sites,dropped_species_count,dropped_occupancy_sum,grouping_method,split_site_pair_count,split_site_cluster_count,split_site_species,supercell_multiplier,supercell_matrix,occupancy_max_error,occupancy_mean_error,within_error_tolerance,source_composition_max_error,composition_max_error,composition_max_drift,within_composition_tolerance,missing_reference_elements,candidate_index,energy_rank,num_atoms,ordered_formula,ranker,relaxed,total_energy_ev,energy_per_atom_ev,output_file
3uq,OBELIX/cifs/3uq.cif,ok,,Li7.8 Al1.8 Ge10.2 P18 O72,Li2.468 Al0.476 Ge3.524 P6 O24,Li2.468 Al0.476 Ge3.524 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.020000000000000018,0.005925925925925924,True,0.0037364893902042118,0.002994236095516134,0.0,True,,0,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_candidates_reaudit/3uq_ordered.cif
3uq,OBELIX/cifs/3uq.cif,ok,,Li7.8 Al1.8 Ge10.2 P18 O72,Li2.468 Al0.476 Ge3.524 P6 O24,Li2.468 Al0.476 Ge3.524 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.020000000000000018,0.005925925925925924,True,0.0037364893902042118,0.002994236095516134,0.0,True,,1,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_candidates_reaudit/3uq_ordered_01.cif
3uq,OBELIX/cifs/3uq.cif,ok,,Li7.8 Al1.8 Ge10.2 P18 O72,Li2.468 Al0.476 Ge3.524 P6 O24,Li2.468 Al0.476 Ge3.524 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.020000000000000018,0.005925925925925924,True,0.0037364893902042118,0.002994236095516134,0.0,True,,2,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_candidates_reaudit/3uq_ordered_02.cif
3uq,OBELIX/cifs/3uq.cif,ok,,Li7.8 Al1.8 Ge10.2 P18 O72,Li2.468 Al0.476 Ge3.524 P6 O24,Li2.468 Al0.476 Ge3.524 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.020000000000000018,0.005925925925925924,True,0.0037364893902042118,0.002994236095516134,0.0,True,,3,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_candidates_reaudit/3uq_ordered_03.cif
3uq,OBELIX/cifs/3uq.cif,ok,,Li7.8 Al1.8 Ge10.2 P18 O72,Li2.468 Al0.476 Ge3.524 P6 O24,Li2.468 Al0.476 Ge3.524 P6 O24,48,0,0.0,spacegroup,0,0,,2,1x2x1,0.020000000000000018,0.005925925925925924,True,0.0037364893902042118,0.002994236095516134,0.0,True,,4,,73,Li5 Al1 Ge7 P12 O48,none,False,,,OBELIX/ordered_candidates_reaudit/3uq_ordered_04.cif
elz,OBELIX/cifs/elz.cif,ok,,Li6 Y2 Br12,Li3 Y0.99999 Br6,Li3 Y0.99999 Br6,15,0,0.0,spacegroup,0,0,,5,5x1x1,0.04622000000000004,0.02174666666666668,True,9.000009000142972e-07,0.0,0.0,True,,0,,50,Li15 Y5 Br30,none,False,,,OBELIX/ordered_candidates_reaudit/elz_ordered.cif
elz,OBELIX/cifs/elz.cif,ok,,Li6 Y2 Br12,Li3 Y0.99999 Br6,Li3 Y0.99999 Br6,15,0,0.0,spacegroup,0,0,,5,5x1x1,0.04622000000000004,0.02174666666666668,True,9.000009000142972e-07,0.0,0.0,True,,1,,50,Li15 Y5 Br30,none,False,,,OBELIX/ordered_candidates_reaudit/elz_ordered_01.cif
elz,OBELIX/cifs/elz.cif,ok,,Li6 Y2 Br12,Li3 Y0.99999 Br6,Li3 Y0.99999 Br6,15,0,0.0,spacegroup,0,0,,5,5x1x1,0.04622000000000004,0.02174666666666668,True,9.000009000142972e-07,0.0,0.0,True,,2,,50,Li15 Y5 Br30,none,False,,,OBELIX/ordered_candidates_reaudit/elz_ordered_02.cif
elz,OBELIX/cifs/elz.cif,ok,,Li6 Y2 Br12,Li3 Y0.99999 Br6,Li3 Y0.99999 Br6,15,0,0.0,spacegroup,0,0,,5,5x1x1,0.04622000000000004,0.02174666666666668,True,9.000009000142972e-07,0.0,0.0,True,,3,,50,Li15 Y5 Br30,none,False,,,OBELIX/ordered_candidates_reaudit/elz_ordered_03.cif
elz,OBELIX/cifs/elz.cif,ok,,Li6 Y2 Br12,Li3 Y0.99999 Br6,Li3 Y0.99999 Br6,15,0,0.0,spacegroup,0,0,,5,5x1x1,0.04622000000000004,0.02174666666666668,True,9.000009000142972e-07,0.0,0.0,True,,4,,50,Li15 Y5 Br30,none,False,,,OBELIX/ordered_candidates_reaudit/elz_ordered_04.cif
gw2,OBELIX/cifs/gw2.cif,ok,,Li8.4 Al2.4 Ge9.6 P18 O72,Li2.788 Al0.792 Ge3.208 P6 O24,Li2.788 Al0.792 Ge3.208 P6 O24,48,0,0.0,spacegroup,0,0,,3,1x3x1,0.03133333333333335,0.013530864197530853,True,0.00030137426665594047,0.003952569169960479,0.0037067423171587427,True,,0,,110,Li8 Al2 Ge10 P18 O72,none,False,,,OBELIX/ordered_candidates_reaudit/gw2_ordered.cif
gw2,OBELIX/cifs/gw2.cif,ok,,Li8.4 Al2.4 Ge9.6 P18 O72,Li2.788 Al0.792 Ge3.208 P6 O24,Li2.788 Al0.792 Ge3.208 P6 O24,48,0,0.0,spacegroup,0,0,,3,1x3x1,0.03133333333333335,0.013530864197530853,True,0.00030137426665594047,0.003952569169960479,0.0037067423171587427,True,,1,,110,Li8 Al2 Ge10 P18 O72,none,False,,,OBELIX/ordered_candidates_reaudit/gw2_ordered_01.cif
gw2,OBELIX/cifs/gw2.cif,ok,,Li8.4 Al2.4 Ge9.6 P18 O72,Li2.788 Al0.792 Ge3.208 P6 O24,Li2.788 Al0.792 Ge3.208 P6 O24,48,0,0.0,spacegroup,0,0,,3,1x3x1,0.03133333333333335,0.013530864197530853,True,0.00030137426665594047,0.003952569169960479,0.0037067423171587427,True,,2,,110,Li8 Al2 Ge10 P18 O72,none,False,,,OBELIX/ordered_candidates_reaudit/gw2_ordered_02.cif
gw2,OBELIX/cifs/gw2.cif,ok,,Li8.4 Al2.4 Ge9.6 P18 O72,Li2.788 Al0.792 Ge3.208 P6 O24,Li2.788 Al0.792 Ge3.208 P6 O24,48,0,0.0,spacegroup,0,0,,3,1x3x1,0.03133333333333335,0.013530864197530853,True,0.00030137426665594047,0.003952569169960479,0.0037067423171587427,True,,3,,110,Li8 Al2 Ge10 P18 O72,none,False,,,OBELIX/ordered_candidates_reaudit/gw2_ordered_03.cif
gw2,OBELIX/cifs/gw2.cif,ok,,Li8.4 Al2.4 Ge9.6 P18 O72,Li2.788 Al0.792 Ge3.208 P6 O24,Li2.788 Al0.792 Ge3.208 P6 O24,48,0,0.0,spacegroup,0,0,,3,1x3x1,0.03133333333333335,0.013530864197530853,True,0.00030137426665594047,0.003952569169960479,0.0037067423171587427,True,,4,,110,Li8 Al2 Ge10 P18 O72,none,False,,,OBELIX/ordered_candidates_reaudit/gw2_ordered_04.cif
ix1,OBELIX/cifs/ix1.cif,ok,,Li5.46 Hf12.13 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.002150288780374196,0.0048073447552953105,0.0026570559749211145,True,,0,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/ix1_ordered.cif
ix1,OBELIX/cifs/ix1.cif,ok,,Li5.46 Hf12.13 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.002150288780374196,0.0048073447552953105,0.0026570559749211145,True,,1,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/ix1_ordered_01.cif
ix1,OBELIX/cifs/ix1.cif,ok,,Li5.46 Hf12.13 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.002150288780374196,0.0048073447552953105,0.0026570559749211145,True,,2,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/ix1_ordered_02.cif
ix1,OBELIX/cifs/ix1.cif,ok,,Li5.46 Hf12.13 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.002150288780374196,0.0048073447552953105,0.0026570559749211145,True,,3,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/ix1_ordered_03.cif
ix1,OBELIX/cifs/ix1.cif,ok,,Li5.46 Hf12.13 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.002150288780374196,0.0048073447552953105,0.0026570559749211145,True,,4,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/ix1_ordered_04.cif
kmv,OBELIX/cifs/kmv.cif,ok,,Li16 Sn4 S16,Li16 Sn4 S16,Li16 Sn4 S16,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.0,0.0,True,0.0,0.0,0.0,True,,0,,36,Li16 Sn4 S16,none,False,,,OBELIX/ordered_candidates_reaudit/kmv_ordered.cif
kmv,OBELIX/cifs/kmv.cif,ok,,Li16 Sn4 S16,Li16 Sn4 S16,Li16 Sn4 S16,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.0,0.0,True,0.0,0.0,0.0,True,,1,,36,Li16 Sn4 S16,none,False,,,OBELIX/ordered_candidates_reaudit/kmv_ordered_01.cif
kmv,OBELIX/cifs/kmv.cif,ok,,Li16 Sn4 S16,Li16 Sn4 S16,Li16 Sn4 S16,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.0,0.0,True,0.0,0.0,0.0,True,,2,,36,Li16 Sn4 S16,none,False,,,OBELIX/ordered_candidates_reaudit/kmv_ordered_02.cif
kmv,OBELIX/cifs/kmv.cif,ok,,Li16 Sn4 S16,Li16 Sn4 S16,Li16 Sn4 S16,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.0,0.0,True,0.0,0.0,0.0,True,,3,,36,Li16 Sn4 S16,none,False,,,OBELIX/ordered_candidates_reaudit/kmv_ordered_03.cif
kmv,OBELIX/cifs/kmv.cif,ok,,Li16 Sn4 S16,Li16 Sn4 S16,Li16 Sn4 S16,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.0,0.0,True,0.0,0.0,0.0,True,,4,,36,Li16 Sn4 S16,none,False,,,OBELIX/ordered_candidates_reaudit/kmv_ordered_04.cif
z7n,OBELIX/cifs/z7n.cif,ok,,Li5.16 Hf12.21 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.0005398052274859372,0.007497438763155444,0.0069576335356695065,True,,0,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/z7n_ordered.cif
z7n,OBELIX/cifs/z7n.cif,ok,,Li5.16 Hf12.21 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.0005398052274859372,0.007497438763155444,0.0069576335356695065,True,,1,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/z7n_ordered_01.cif
z7n,OBELIX/cifs/z7n.cif,ok,,Li5.16 Hf12.21 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.0005398052274859372,0.007497438763155444,0.0069576335356695065,True,,2,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/z7n_ordered_02.cif
z7n,OBELIX/cifs/z7n.cif,ok,,Li5.16 Hf12.21 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.0005398052274859372,0.007497438763155444,0.0069576335356695065,True,,3,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/z7n_ordered_03.cif
z7n,OBELIX/cifs/z7n.cif,ok,,Li5.16 Hf12.21 P18 O72,Li1.74 Hf4.064 P6 O24,Li1.74 Hf4.064 P6 O24,48,0,0.0,spacegroup,0,0,,1,1x1x1,0.03200000000000003,0.013416666666666664,True,0.0005398052274859372,0.007497438763155444,0.0069576335356695065,True,,4,,36,Li2 Hf4 P6 O24,none,False,,,OBELIX/ordered_candidates_reaudit/z7n_ordered_04.cif
