parent_id,source_file,status,message,reference_formula,source_formula,cleaned_formula,source_num_sites,dropped_species_count,dropped_occupancy_sum,grouping_method,split_site_pair_count,split_site_cluster_count,split_site_species,supercell_multiplier,supercell_matrix,occupancy_max_error,occupancy_mean_error,within_error_tolerance,source_composition_max_error,composition_max_error,composition_max_drift,within_composition_tolerance,missing_reference_elements,candidate_index,energy_rank,num_atoms,ordered_formula,ranker,relaxed,total_energy_ev,energy_per_atom_ev,output_file
9yt,OBELIX/cifs/9yt.cif,ok,,Li24 P4 S20 Br3 Cl1,Li11.472 P1 S5 Br0.75 Cl0.25,Li11.472 P1 S5 Br0.75 Cl0.25,37,0,0.0,spacegroup+split_site_pairs,12,0,Li,7,1x7x1,0.04400000000000004,0.034190476190476195,True,0.15950961122030838,0.1807973048848961,0.021287693664587715,True,,0,,137,Li88 P7 S35 Br5 Cl2,none,False,,,OBELIX/ordered_cifs/9yt_ordered.cif
9yt,OBELIX/cifs/9yt.cif,ok,,Li24 P4 S20 Br3 Cl1,Li11.472 P1 S5 Br0.75 Cl0.25,Li11.472 P1 S5 Br0.75 Cl0.25,37,0,0.0,spacegroup+split_site_pairs,12,0,Li,7,1x7x1,0.04400000000000004,0.034190476190476195,True,0.15950961122030838,0.1807973048848961,0.021287693664587715,True,,1,,137,Li88 P7 S35 Br5 Cl2,none,False,,,OBELIX/ordered_cifs/9yt_ordered_01.cif
9yt,OBELIX/cifs/9yt.cif,ok,,Li24 P4 S20 Br3 Cl1,Li11.472 P1 S5 Br0.75 Cl0.25,Li11.472 P1 S5 Br0.75 Cl0.25,37,0,0.0,spacegroup+split_site_pairs,12,0,Li,7,1x7x1,0.04400000000000004,0.034190476190476195,True,0.15950961122030838,0.1807973048848961,0.021287693664587715,True,,2,,137,Li88 P7 S35 Br5 Cl2,none,False,,,OBELIX/ordered_cifs/9yt_ordered_02.cif
9yt,OBELIX/cifs/9yt.cif,ok,,Li24 P4 S20 Br3 Cl1,Li11.472 P1 S5 Br0.75 Cl0.25,Li11.472 P1 S5 Br0.75 Cl0.25,37,0,0.0,spacegroup+split_site_pairs,12,0,Li,7,1x7x1,0.04400000000000004,0.034190476190476195,True,0.15950961122030838,0.1807973048848961,0.021287693664587715,True,,3,,137,Li88 P7 S35 Br5 Cl2,none,False,,,OBELIX/ordered_cifs/9yt_ordered_03.cif
9yt,OBELIX/cifs/9yt.cif,ok,,Li24 P4 S20 Br3 Cl1,Li11.472 P1 S5 Br0.75 Cl0.25,Li11.472 P1 S5 Br0.75 Cl0.25,37,0,0.0,spacegroup+split_site_pairs,12,0,Li,7,1x7x1,0.04400000000000004,0.034190476190476195,True,0.15950961122030838,0.1807973048848961,0.021287693664587715,True,,4,,137,Li88 P7 S35 Br5 Cl2,none,False,,,OBELIX/ordered_cifs/9yt_ordered_04.cif
9zk,OBELIX/cifs/9zk.cif,copied_ordered,,Li40 Ga8 O32,Li40 Ga8 O32,Li40 Ga8 O32,80,0,0.0,,0,0,,,,,,,0.0,0.0,0.0,True,,,,80,Li40 Ga8 O32,none,False,,,OBELIX/ordered_cifs/9zk_ordered.cif
9zr,OBELIX/cifs/9zr.cif,ok,,Li24 P4 S20 Br4,Li6 P1 S5 Br1,Li6 P1 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,4,1x2x2,0.030000000000000027,0.015937500000000007,True,5.551115123125783e-17,0.0,0.0,True,,0,,52,Li24 P4 S20 Br4,none,False,,,OBELIX/ordered_cifs/9zr_ordered.cif
9zr,OBELIX/cifs/9zr.cif,ok,,Li24 P4 S20 Br4,Li6 P1 S5 Br1,Li6 P1 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,4,1x2x2,0.030000000000000027,0.015937500000000007,True,5.551115123125783e-17,0.0,0.0,True,,1,,52,Li24 P4 S20 Br4,none,False,,,OBELIX/ordered_cifs/9zr_ordered_01.cif
9zr,OBELIX/cifs/9zr.cif,ok,,Li24 P4 S20 Br4,Li6 P1 S5 Br1,Li6 P1 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,4,1x2x2,0.030000000000000027,0.015937500000000007,True,5.551115123125783e-17,0.0,0.0,True,,2,,52,Li24 P4 S20 Br4,none,False,,,OBELIX/ordered_cifs/9zr_ordered_02.cif
9zr,OBELIX/cifs/9zr.cif,ok,,Li24 P4 S20 Br4,Li6 P1 S5 Br1,Li6 P1 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,0,6,Li,4,1x2x2,0.030000000000000027,0.015937500000000007,True,5.551115123125783e-17,0.0,0.0,True,,3,,52,Li24 P4 S20 Br4,none,False,,,OBELIX/ordered_cifs/9zr_ordered_03.cif
