parent_id,source_file,stage,status,attempt,resolved,resolution,message,candidate_index,num_atoms,converged,relaxation_steps,relaxation_seconds,total_energy_ev,energy_per_atom_ev
09w,/root/Mattergen/OBELIX/cifs/09w.cif,ordering_approximation,approximation_warning,0,False,,Occupancy error 0.075000 exceeds tolerance 0.050000,0,104,,,,-428.0943908691406,-4.116292219895583
0ii,/root/Mattergen/OBELIX/cifs/0ii.cif,ordering_approximation,approximation_warning,0,False,,Occupancy error 0.105000 exceeds tolerance 0.050000,4,72,,,,-616.6650390625,-8.56479220920139
13q,/root/Mattergen/OBELIX/cifs/13q.cif,ordering_approximation,approximation_warning,0,False,,Occupancy error 0.055000 exceeds tolerance 0.050000,8,99,,,,-424.2293395996094,-4.285144844440499
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,0,110,False,300,91.417320681001,-577.5321655273438,-5.250292413884943
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,1,110,False,300,91.41727388900108,-547.7951049804688,-4.979955499822443
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,2,110,False,300,90.06848265000008,-553.5265502929688,-5.032059548117898
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,3,110,False,300,90.06818641300197,-582.076416015625,-5.2916037819602275
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,4,110,False,300,88.27236799899765,-568.6375732421875,-5.169432484019886
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,5,110,False,300,88.27212009199866,-534.1298217773438,-4.855725652521307
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,6,110,False,300,88.26970980799888,-569.4398803710938,-5.176726185191761
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,7,110,False,300,88.26946541900179,-579.2665405273438,-5.2660594593394885
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,8,110,False,300,88.26199592699777,-582.962158203125,-5.299655983664772
1m8,/root/Mattergen/OBELIX/cifs/1m8.cif,mlip_relaxation,relaxation_step_limit,0,False,,Did not converge within 300 steps,9,110,False,300,88.26172031799797,-559.4216918945312,-5.085651744495738
1xt,/root/Mattergen/OBELIX/cifs/1xt.cif,python_warning,UserWarning,0,False,,"/root/Mattergen/.venv/lib/python3.10/site-packages/pymatgen/io/cif.py:1684: Site labels are not unique, which is not compliant with the CIF spec (https://www.iucr.org/__data/iucr/cifdic_html/1/cif_core.dic/Iatom_site_label.html):`['Li0', 'Li0', 'Li0', 'Li0', 'Li1', 'Li1', 'Li1', 'Li1', 'Sb2', 'Sb2', 'Sb2', 'Sb2', 'Sb3', 'Sb3', 'Sb3', 'Sb3', 'O4', 'O4', 'O4', 'O4', 'O5', 'O5', 'O5', 'O5', 'O6', 'O6', 'O6', 'O6', 'O7', 'O7', 'O7', 'O7']`.",,,,,,,
20k,/root/Mattergen/OBELIX/cifs/20k.cif,mlip_relaxation,relaxation_step_limit,0,True,Excluded from ranking; a converged candidate was selected,Did not converge within 300 steps,1,92,False,300,112.73746376800045,-669.773681640625,-7.280148713485055
20k,/root/Mattergen/OBELIX/cifs/20k.cif,mlip_relaxation,relaxation_step_limit,0,True,Excluded from ranking; a converged candidate was selected,Did not converge within 300 steps,2,92,False,300,113.04779366000002,-689.4638061523438,-7.494171806003736
20k,/root/Mattergen/OBELIX/cifs/20k.cif,mlip_relaxation,relaxation_step_limit,0,True,Excluded from ranking; a converged candidate was selected,Did not converge within 300 steps,3,92,False,300,112.55951570699835,-682.0115356445312,-7.413168865701427
