parent_id,source_file,status,attempt,message,reference_formula,source_formula,cleaned_formula,source_num_sites,dropped_species_count,dropped_occupancy_sum,grouping_method,candidate_method,split_site_pair_count,split_site_cluster_count,split_site_species,supercell_multiplier,supercell_matrix,occupancy_max_error,occupancy_mean_error,within_error_tolerance,source_composition_max_error,composition_max_error,composition_max_drift,within_composition_tolerance,missing_reference_elements,candidate_index,energy_rank,num_atoms,ordered_formula,ranker,relaxed,converged,relaxation_steps,relaxation_seconds,total_energy_ev,energy_per_atom_ev,output_file
00x,/root/Mattergen/OBELIX/cifs/00x.cif,copied_ordered,0,,Li4 Gd4 P16 O48,Li2 Gd2 P8 O24,Li2 Gd2 P8 O24,36,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,36,Li2 Gd2 P8 O24,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/00x_ordered.cif
019,/root/Mattergen/OBELIX/cifs/019.cif,ok,0,,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,Li6 Ti12 P18 O72,144,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.016666666666666635,0.004861111111111098,True,0.0,0.0,0.0,True,,0,1,108,Li6 Ti12 P18 O72,mattersim,True,,,,-834.453857421875,-7.726424605758102,/root/Mattergen/results/obelix_random10_321/cifs/019_ordered.cif
09w,/root/Mattergen/OBELIX/cifs/09w.cif,approximation_warning,0,Occupancy error 0.075000 exceeds tolerance 0.050000,Li24.2 Si0.2 P3.8 S20 Br4,Li6.04998 Si0.05 P0.95 S5 Br1,Li6.04998 Si0.05 P0.95 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,random,0,6,Li,8,2x2x2,0.075,0.03504555555555556,False,8.220678766046596e-07,0.005783966990863544,0.005783961118950139,True,,0,1,104,Li48 Si1 P7 S40 Br8,mattersim,True,,,,-428.0943908691406,-4.116292219895583,/root/Mattergen/results/obelix_random10_321/cifs/09w_ordered.cif
0fh,/root/Mattergen/OBELIX/cifs/0fh.cif,ok,0,,Li7.2 Al1.2 Ge10.8 P18 O72,Li2.48 Al0.484 Ge3.516 P6 O24,Li2.48 Al0.484 Ge3.516 P6 O24,48,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.010000000000000009,0.0038518518518518624,True,0.002519519953730495,0.0030106879421948063,0.0005106945445806504,True,,1,1,73,Li5 Al1 Ge7 P12 O48,mattersim,True,,,,-498.977783203125,-6.835312098672945,/root/Mattergen/results/obelix_random10_321/cifs/0fh_ordered.cif
0ii,/root/Mattergen/OBELIX/cifs/0ii.cif,approximation_warning,0,Occupancy error 0.105000 exceeds tolerance 0.050000,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,Na0.48 Li0.02 La0.5 Nb2 O6,9,0,0.0,spacegroup,random,0,0,,8,4x2x1,0.105,0.026249999999999996,False,0.0,0.011666666666666665,0.011666666666666665,True,,4,1,72,Na3 Li1 La4 Nb16 O48,mattersim,True,,,,-616.6650390625,-8.56479220920139,/root/Mattergen/results/obelix_random10_321/cifs/0ii_ordered.cif
0iv,/root/Mattergen/OBELIX/cifs/0iv.cif,copied_ordered,0,,Li4 P2 S6,Li4 P2 S6,Li4 P2 S6,12,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,12,Li4 P2 S6,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/0iv_ordered.cif
0o6,/root/Mattergen/OBELIX/cifs/0o6.cif,ok,0,,Li7.2 Sc1.2 Ti10.8 P18 O72,Li2.276 Sc0.42 Ti3.58 P6 O24,Li2.276 Sc0.42 Ti3.58 P6 O24,48,0,0.0,spacegroup,random,0,0,,2,1x2x1,0.020000000000000018,0.009666666666666662,True,0.003192859626865552,0.0030106879421948063,0.0027974267299259725,True,,5,1,73,Li5 Sc1 Ti7 P12 O48,mattersim,True,,,,-560.66845703125,-7.680389822345891,/root/Mattergen/results/obelix_random10_321/cifs/0o6_ordered.cif
10s,/root/Mattergen/OBELIX/cifs/10s.cif,ok,0,,Li25.4 Si1.4 P2.6 S20 Br4,Li6.34998 Si0.35 P0.65 S5 Br1,Li6.34998 Si0.35 P0.65 S5 Br1,25,0,0.0,spacegroup+split_site_clusters,random,0,6,Li,5,5x1x1,0.050000000000000044,0.028564814814814803,True,7.85536112102303e-07,0.014116969173148919,0.014116183637036817,True,,8,1,65,Li30 Si2 P3 S25 Br5,mattersim,True,,,,-269.57489013671875,-4.147306002103365,/root/Mattergen/results/obelix_random10_321/cifs/10s_ordered.cif
11b,/root/Mattergen/OBELIX/cifs/11b.cif,copied_ordered,0,,Li6 P2,Li6 P2,Li6 P2,8,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,8,Li6 P2,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/11b_ordered.cif
122,/root/Mattergen/OBELIX/cifs/122.cif,ok,0,,Li24 P4 S20 Cl4,Li6 P1 S5 Cl1,Li6 P1 S5 Cl1,19,0,0.0,spacegroup,random,0,0,,5,5x1x1,0.015000000000000013,0.007500000000000007,True,0.0,0.0,0.0,True,,8,1,65,Li30 P5 S25 Cl5,mattersim,True,,,,-269.106201171875,-4.1400954026442305,/root/Mattergen/results/obelix_random10_321/cifs/122_ordered.cif
13q,/root/Mattergen/OBELIX/cifs/13q.cif,approximation_warning,0,Occupancy error 0.055000 exceeds tolerance 0.050000,Li20 Sn2 P4 S24,Li20 Sn2 P4 S24,Li20 Sn2 P4 S24,66,0,0.0,spacegroup+split_site_pairs,random,4,0,Li,2,1x2x1,0.05500000000000005,0.02200000000000002,False,0.0,0.0060606060606061,0.0060606060606061,True,,8,1,99,Li39 Sn4 P8 S48,mattersim,True,,,,-424.2293395996094,-4.285144844440499,/root/Mattergen/results/obelix_random10_321/cifs/13q_ordered.cif
1dm,/root/Mattergen/OBELIX/cifs/1dm.cif,ok,0,,Li9.6 Al3.6 Ge8.4 P18 O72,Li2.956 Al0.96 Ge3.04 P6 O24,Li2.956 Al0.96 Ge3.04 P6 O24,48,0,0.0,spacegroup,random,0,0,,1,1x1x1,0.010000000000000009,0.0030370370370370295,True,0.006991167642543816,0.005812263876780008,0.0,True,,7,1,37,Li3 Al1 Ge3 P6 O24,mattersim,True,,,,-253.5894317626953,-6.853768426018792,/root/Mattergen/results/obelix_random10_321/cifs/1dm_ordered.cif
1e9,/root/Mattergen/OBELIX/cifs/1e9.cif,copied_ordered,0,,Li12 Sb4 S12,Li12 Sb4 S12,Li12 Sb4 S12,28,0,0.0,,,0,0,,,,,,,0.0,0.0,0.0,True,,,,28,Li12 Sb4 S12,mattersim,False,,,,,,/root/Mattergen/results/obelix_random10_321/cifs/1e9_ordered.cif
1kq,/root/Mattergen/OBELIX/cifs/1kq.cif,ok,0,,Li24 P4 Se2.8 S17.2 Br4,Li6.006 P1 Se0.7 S4.3 Br1,Li6.006 P1 Se0.7 S4.3 Br1,25,0,0.0,spacegroup+split_site_clusters,random,0,6,Li,5,5x1x1,0.047760000000000025,0.017954999999999992,True,0.00024840606110787533,0.0076923076923077205,0.007667467086196908,True,,6,1,65,Li30 P5 Se3 S22 Br5,mattersim,True,,,,-264.3357849121094,-4.066704383263221,/root/Mattergen/results/obelix_random10_321/cifs/1kq_ordered.cif
1ty,/root/Mattergen/OBELIX/cifs/1ty.cif,ok,0,,Li16 Ge4 Se4 S12,Li16.0 Ge4 Se4.232 S11.768,Li16.0 Ge4 Se4.232 S11.768,48,0,0.0,spacegroup+split_site_pairs,random,12,0,Li,2,2x1x1,0.04800000000000004,0.004093749999999999,True,0.006444444444444475,0.013888888888888895,0.007444444444444531,True,,4,1,72,Li32 Ge8 Se9 S23,mattersim,True,True,41,13.72056347799662,-296.8791198730469,-4.123321109347874,/root/Mattergen/results/obelix_random10_321/cifs/1ty_ordered.cif
